condition,model,sentence,target_phrase,avg_sentence_prob,target_phrase_prob,surprisal_after_mask
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 노래를 불렀다.,노래를 불렀다,-5.278825465057578,-1.7055060267448425,25.515409371621807
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 노래를 부르셨다.,노래를 부르셨다,-4.168508082162589,-2.407449446618557,26.363682840125456
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 티비를 봤다.,티비를 봤다,-4.76177675742656,-2.076340079307556,25.079266872478552
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 티비를 보셨다.,티비를 보셨다,-4.4044384054011765,-2.6934189572930336,24.802991190410122
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 티비를 봤다.,티비를 봤다,-4.858599610393867,-2.588556448618571,24.071731965831116
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 티비를 보셨다.,티비를 보셨다,-3.947726930388146,-2.1937609761953354,25.469838096726782
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 산책을 했다.,산책을 했다,-6.315268183393138,-6.469071865081787,25.43308334044559
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 산책을 하셨다.,산책을 하셨다,-6.00094324656363,-6.907620191574097,25.761749065550454
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 산책을 했다.,산책을 했다,-6.18136593912329,-6.595384120941162,24.956724418224578
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 산책을 하셨다.,산책을 하셨다,-5.458958904791091,-6.030888080596924,25.972462209387565
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 정원을 가꿨다.,정원을 가꿨다,-4.955528900958598,-3.9238106697797774,24.891965382938093
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 정원을 가꾸셨다.,정원을 가꾸셨다,-4.271364340351687,-2.3787781707942486,24.963947689560815
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 정원을 가꿨다.,정원을 가꿨다,-4.8456315591931345,-4.201431864500046,23.91441049198906
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 정원을 가꾸셨다.,정원을 가꾸셨다,-3.9367825598973365,-2.124536331743002,24.73281126196844
no_honorific,bert-kor-base,어제 저녁에 혼자서 선생님이 빨래를 널었다.,빨래를 널었다,-4.7921237433329225,-2.291688402493795,25.063981054469867
verb_only,bert-kor-base,어제 저녁에 혼자서 선생님이 빨래를 널으셨다.,빨래를 널으셨다,-5.057966557227903,-4.006307303905487,23.988723507496275
noun_only,bert-kor-base,어제 저녁에 혼자서 선생님께서 빨래를 널었다.,빨래를 널었다,-4.890819518011995,-3.0982040961583457,23.937216767354673
all_honorific,bert-kor-base,어제 저녁에 혼자서 선생님께서 빨래를 널으셨다.,빨래를 널으셨다,-4.840135011511545,-3.8883861005306244,24.028711537613688
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 책을 읽었다.,책을 읽었다,-3.7408520970493555,-1.8560644586881,24.497737119601915
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 책을 읽으셨다.,책을 읽으셨다,-3.099900673609227,-1.729777529835701,23.95133035161508
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 책을 읽었다.,책을 읽었다,-4.180679010537763,-2.21765465537707,24.429387086565413
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 책을 읽으셨다.,책을 읽으셨다,-3.2474073549732565,-1.8172630071640015,24.179051891691923
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 파스타를 먹었다.,파스타를 먹었다,-4.464110301600562,-3.3571776946385703,24.401514890235983
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 파스타를 드셨다.,파스타를 드셨다,-3.892304139211774,-3.4529288560152054,23.964293715906514
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 파스타를 먹었다.,파스타를 먹었다,-5.128527611287104,-3.9817426602045694,24.29182573137689
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 파스타를 드셨다.,파스타를 드셨다,-4.082530662603676,-3.739514008164406,24.119265218807183
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 호통을 쳤다.,호통을 쳤다,-4.716168044548896,-3.474895397822062,23.98646984683937
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 호통을 치셨다.,호통을 치셨다,-4.125521719641983,-3.2546540424227715,24.11519266963475
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 호통을 쳤다.,호통을 쳤다,-5.149236441693372,-4.0547746022542315,23.68929483303809
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 호통을 치셨다.,호통을 치셨다,-4.308054262306541,-3.4333789870142937,24.189381857633347
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 핸드폰을 샀다.,핸드폰을 샀다,-6.228245630161837,-8.030323266983032,23.00153621223772
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 핸드폰을 사셨다.,핸드폰을 사셨다,-4.761876126544343,-5.6851223309834795,23.012929718892078
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 핸드폰을 샀다.,핸드폰을 샀다,-6.50291654211469,-8.572043180465698,22.894935861788124
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 핸드폰을 사셨다.,핸드폰을 사셨다,-4.8080011864917145,-5.590426127115886,23.107572459592486
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 편지를 썼다.,편지를 썼다,-5.12299966881983,-2.275475561618805,24.013772436629143
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 편지를 쓰셨다.,편지를 쓰셨다,-4.313588109281328,-2.7327382614215217,24.120288859545116
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 편지를 썼다.,편지를 썼다,-5.413741929805838,-2.861624598503113,23.83914813224908
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 편지를 쓰셨다.,편지를 쓰셨다,-4.410670334473252,-2.8120611806710563,24.155709030455615
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 노래를 불렀다.,노래를 불렀다,-4.610006490256637,-1.015800952911377,23.875883626473378
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 노래를 부르셨다.,노래를 부르셨다,-3.4635811030036874,-1.5374145296712716,24.080856677355293
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 노래를 불렀다.,노래를 불렀다,-4.8945871675387025,-1.5266478657722473,23.782113181778147
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 노래를 부르셨다.,노래를 부르셨다,-3.639360344554815,-1.8364838684598606,24.2022296495834
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 티비를 봤다.,티비를 봤다,-3.8955607004463673,-2.177113433678945,23.575632187013465
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 티비를 보셨다.,티비를 보셨다,-3.1060488944873215,-1.6367276310920715,23.735548535091738
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 티비를 봤다.,티비를 봤다,-4.334745984317528,-2.364652226368586,23.233196842949923
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 티비를 보셨다.,티비를 보셨다,-3.1464562475681306,-1.632578756660223,23.9064249935442
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 산책을 했다.,산책을 했다,-5.7889970319811255,-5.778113961219788,23.72989374553137
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 산책을 하셨다.,산책을 하셨다,-4.793599262891803,-4.905185341835022,23.373606230836735
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 산책을 했다.,산책을 했다,-5.893512754701078,-6.235962390899658,23.28085392343461
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 산책을 하셨다.,산책을 하셨다,-4.700583874247968,-4.90172553062439,23.37151217007983
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 정원을 가꿨다.,정원을 가꿨다,-4.696348857219246,-3.72683691829443,23.414271184667943
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 정원을 가꾸셨다.,정원을 가꾸셨다,-3.824067280255258,-2.16760644223541,23.029251560389564
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 정원을 가꿨다.,정원을 가꿨다,-4.8989560912278565,-3.9999267250299453,22.75058738326595
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 정원을 가꾸셨다.,정원을 가꾸셨다,-3.6626662430353463,-1.941351213492453,23.2021766761791
no_honorific,bert-kor-base,어제 저녁에 혼자서 교수님이 빨래를 널었다.,빨래를 널었다,-4.42625570576638,-2.0150581995646157,23.28834411184499
verb_only,bert-kor-base,어제 저녁에 혼자서 교수님이 빨래를 널으셨다.,빨래를 널으셨다,-4.061069662868976,-2.9720306396484375,22.631488709612853
noun_only,bert-kor-base,어제 저녁에 혼자서 교수님께서 빨래를 널었다.,빨래를 널었다,-4.520664789610439,-2.436909000078837,22.81938732291711
all_honorific,bert-kor-base,어제 저녁에 혼자서 교수님께서 빨래를 널으셨다.,빨래를 널으셨다,-4.042822549119592,-2.929732084274292,22.76118564214272
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 책을 읽었다.,책을 읽었다,-4.523577332962304,-2.235591103633245,25.496535307585518
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 책을 읽으셨다.,책을 읽으셨다,-3.953501387292312,-2.180302298627794,25.117887296556304
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 책을 읽었다.,책을 읽었다,-3.629469866450462,-2.0987930645545325,26.005295761229085
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 책을 읽으셨다.,책을 읽으셨다,-2.881273430865258,-1.7050201538950205,25.422035174954164
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 파스타를 먹었다.,파스타를 먹었다,-4.916238508187234,-3.9123055140177407,24.557256875412513
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 파스타를 드셨다.,파스타를 드셨다,-4.503174628441532,-4.367613986134529,25.188441459246263
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 파스타를 먹었다.,파스타를 먹었다,-4.076952475433548,-4.427423199017842,24.323291677178748
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 파스타를 드셨다.,파스타를 드셨다,-3.8764360666275026,-4.257950335741043,25.151510592730588
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 호통을 쳤다.,호통을 쳤다,-4.6760171805508435,-3.9172680377960205,24.58195633579883
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 호통을 치셨다.,호통을 치셨다,-3.8591627063643603,-3.145343914628029,25.08605537167341
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 호통을 쳤다.,호통을 쳤다,-4.450652506305939,-4.272274335225423,24.7400785608633
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 호통을 치셨다.,호통을 치셨다,-3.8642751342616974,-3.428238745778799,25.501958952463127
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 핸드폰을 샀다.,핸드폰을 샀다,-5.625729699353022,-7.856014966964722,24.544037600936594
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 핸드폰을 사셨다.,핸드폰을 사셨다,-4.906305973650888,-6.879836400349935,25.152019661377143
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 핸드폰을 샀다.,핸드폰을 샀다,-5.140884565538727,-8.64217233657837,24.77921906047726
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 핸드폰을 사셨다.,핸드폰을 사셨다,-4.045036268213557,-5.56046724319458,25.043673343055985
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 편지를 썼다.,편지를 썼다,-4.524489670858851,-1.6269221305847168,24.89349809232258
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 편지를 쓰셨다.,편지를 쓰셨다,-3.9891996355727315,-2.4551651974519095,25.303590035374345
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 편지를 썼다.,편지를 썼다,-4.218885531881824,-2.1179392337799072,25.033236059940425
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 편지를 쓰셨다.,편지를 쓰셨다,-3.5970856294863753,-2.2149315923452377,25.79379837650404
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 노래를 불렀다.,노래를 불렀다,-4.505128812177905,-1.3857343196868896,25.472328405511277
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 노래를 부르셨다.,노래를 부르셨다,-3.6972215364221483,-1.8340537163118522,25.995810574068702
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 노래를 불렀다.,노래를 불렀다,-3.961972396238707,-1.3532847166061401,25.614922660994647
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 노래를 부르셨다.,노래를 부르셨다,-3.0573202634437218,-1.5652174999316533,26.401158547679064
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 티비를 봤다.,티비를 봤다,-3.8209902920061722,-1.911227564016978,23.595419822891134
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 티비를 보셨다.,티비를 보셨다,-3.220231004162795,-1.924904964864254,24.209334596855847
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 티비를 봤다.,티비를 봤다,-3.135268474722074,-1.8206685334444046,23.80232183118513
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 티비를 보셨다.,티비를 보셨다,-2.7342837079428137,-1.3894536048173904,23.98606534364454
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 산책을 했다.,산책을 했다,-5.622862584888935,-5.522682547569275,24.51817416196924
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 산책을 하셨다.,산책을 하셨다,-5.038971179431038,-5.217409014701843,24.89590584943466
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 산책을 했다.,산책을 했다,-4.7503401059657335,-6.207447290420532,24.183963716200562
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 산책을 하셨다.,산책을 하셨다,-3.935897206189111,-4.950531244277954,24.583822003595387
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 정원을 가꿨다.,정원을 가꿨다,-4.8079535250552,-3.9274207651615143,23.75468676447975
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 정원을 가꾸셨다.,정원을 가꾸셨다,-4.143034569505188,-2.4949485678225756,25.01547919520414
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 정원을 가꿨다.,정원을 가꿨다,-4.331742845983668,-4.52560185417533,23.54271608349953
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 정원을 가꾸셨다.,정원을 가꾸셨다,-3.351914311759174,-2.385046560317278,24.828210726332646
no_honorific,bert-kor-base,어제 저녁에 혼자서 어머니가 빨래를 널었다.,빨래를 널었다,-4.175890373880975,-2.5930585066477456,24.38641894107385
verb_only,bert-kor-base,어제 저녁에 혼자서 어머니가 빨래를 널으셨다.,빨래를 널으셨다,-4.1006252028875885,-3.3697028160095215,23.996433833699758
noun_only,bert-kor-base,어제 저녁에 혼자서 어머니께서 빨래를 널었다.,빨래를 널었다,-3.2750068831567964,-1.9938736359278362,24.45339586462586
all_honorific,bert-kor-base,어제 저녁에 혼자서 어머니께서 빨래를 널으셨다.,빨래를 널으셨다,-3.362808368680999,-2.9174490720033646,24.18656409388161
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 책을 읽었다.,책을 읽었다,-4.607256391784176,-2.2525506963332496,26.414333794596363
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 책을 읽으셨다.,책을 읽으셨다,-4.2036361408730345,-2.610505291260779,25.69529221753465
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 책을 읽었다.,책을 읽었다,-3.827999634978672,-1.9770486901203792,26.380154650494493
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 책을 읽으셨다.,책을 읽으셨다,-2.9388710275292396,-1.5765364691615105,26.026068513730902
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 파스타를 먹었다.,파스타를 먹었다,-4.948461818043143,-3.4350612560908,25.556407283865088
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 파스타를 드셨다.,파스타를 드셨다,-4.473523802848326,-3.9804725497961044,25.96150760245821
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 파스타를 먹었다.,파스타를 먹었다,-4.176635998197728,-4.06370747089386,25.15870084339786
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 파스타를 드셨다.,파스타를 드셨다,-3.826556007005274,-3.9704706221818924,25.6145539301912
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 호통을 쳤다.,호통을 쳤다,-4.799893761286512,-3.970256725947062,25.051623069109468
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 호통을 치셨다.,호통을 치셨다,-4.037042436603871,-3.378551110625267,25.400802884809245
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 호통을 쳤다.,호통을 쳤다,-4.496575939469039,-4.023924668629964,25.171507359511708
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 호통을 치셨다.,호통을 치셨다,-3.9137844895012677,-3.301879271864891,25.96910235632031
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 핸드폰을 샀다.,핸드폰을 샀다,-5.5738117110782435,-7.375150918960571,24.70209103294072
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 핸드폰을 사셨다.,핸드폰을 사셨다,-4.830330803757533,-6.631701151529948,25.35451341036422
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 핸드폰을 샀다.,핸드폰을 샀다,-5.192599868052639,-8.179898738861084,24.856770853265527
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 핸드폰을 사셨다.,핸드폰을 사셨다,-4.10046670296126,-5.313217957814534,25.23179484587576
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 편지를 썼다.,편지를 썼다,-4.484611402797912,-1.6171835064888,25.287093459503584
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 편지를 쓰셨다.,편지를 쓰셨다,-4.130888910032809,-2.5925781379143396,25.70824457493643
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 편지를 썼다.,편지를 썼다,-4.1822896738303825,-1.8519741892814636,25.568377276365137
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 편지를 쓰셨다.,편지를 쓰셨다,-3.707658905742897,-2.251881390810013,26.19020600399195
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 노래를 불렀다.,노래를 불렀다,-4.536239685091589,-1.2001093626022339,25.870122901095748
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 노래를 부르셨다.,노래를 부르셨다,-3.8617208441719413,-1.9035152060290177,26.42313380287571
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 노래를 불렀다.,노래를 불렀다,-4.114890292054042,-1.1448158919811249,25.991429831985922
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 노래를 부르셨다.,노래를 부르셨다,-3.2404434747166104,-1.4640350167949994,26.89196126085014
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 티비를 봤다.,티비를 봤다,-4.043812618823722,-1.9526969194412231,23.87492327535096
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 티비를 보셨다.,티비를 보셨다,-3.383776930574742,-1.8551059234887362,24.01915755739296
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 티비를 봤다.,티비를 봤다,-3.320521021986173,-1.7153972585995991,23.28139601275013
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 티비를 보셨다.,티비를 보셨다,-2.6995208357460796,-1.241063067689538,23.750325284453872
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 산책을 했다.,산책을 했다,-5.649595523253083,-5.109068036079407,25.428377895117986
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 산책을 하셨다.,산책을 하셨다,-5.277365268607225,-5.261553406715393,25.532115078396018
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 산책을 했다.,산책을 했다,-4.785132330027409,-5.894176006317139,25.014227161505858
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 산책을 하셨다.,산책을 하셨다,-3.981178818969056,-4.6637043952941895,25.183067345372102
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 정원을 가꿨다.,정원을 가꿨다,-4.7798856482841074,-3.8774077206850053,24.774301732523792
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 정원을 가꾸셨다.,정원을 가꾸셨다,-4.116041211825278,-2.6195981204509735,26.339946482583976
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 정원을 가꿨다.,정원을 가꿨다,-4.334877765060148,-4.475658727437258,24.45515421524828
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 정원을 가꾸셨다.,정원을 가꾸셨다,-3.256376214325428,-2.2013297379016876,26.139566056410697
no_honorific,bert-kor-base,어제 저녁에 혼자서 아버지가 빨래를 널었다.,빨래를 널었다,-4.189327099127695,-2.169996162255605,25.07035679530265
verb_only,bert-kor-base,어제 저녁에 혼자서 아버지가 빨래를 널으셨다.,빨래를 널으셨다,-4.354116478727923,-3.5274940729141235,24.129950156939987
noun_only,bert-kor-base,어제 저녁에 혼자서 아버지께서 빨래를 널었다.,빨래를 널었다,-3.4286773439703717,-1.7659958600997925,24.454463532922418
all_honorific,bert-kor-base,어제 저녁에 혼자서 아버지께서 빨래를 널으셨다.,빨래를 널으셨다,-3.5082295237109067,-2.8575525283813477,24.25133963950258
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 책을 읽었다.,책을 읽었다,-4.472524459473789,-2.435342704256376,26.093389402584638
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 책을 읽으셨다.,책을 읽으셨다,-3.9827863154932857,-2.4104741998016834,25.677020780706986
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 책을 읽었다.,책을 읽었다,-3.922358255419466,-2.201898773511251,26.55494405821938
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 책을 읽으셨다.,책을 읽으셨다,-2.9595250636339188,-1.6589591167867184,26.046750459393056
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 파스타를 먹었다.,파스타를 먹었다,-5.3821821245364845,-4.554091771443685,25.010737977485153
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 파스타를 드셨다.,파스타를 드셨다,-4.844095159528984,-4.495490610599518,25.22453305042573
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 파스타를 먹었다.,파스타를 먹었다,-4.4508284400734635,-4.900450865427653,24.681010087528563
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 파스타를 드셨다.,파스타를 드셨다,-3.9192843256518244,-4.355282470583916,24.968807231343593
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 호통을 쳤다.,호통을 쳤다,-4.619663989753462,-3.638401428858439,24.915443078572675
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 호통을 치셨다.,호통을 치셨다,-4.0275623658671975,-3.320038288831711,25.201479120042872
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 호통을 쳤다.,호통을 쳤다,-4.402719787735906,-3.930023749669393,24.956680390665955
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 호통을 치셨다.,호통을 치셨다,-3.771882471907884,-3.35068791359663,25.639723935110272
no_honorific,bert-kor-base,어제 저녁에 혼자서 할머니가 핸드폰을 샀다.,핸드폰을 샀다,-6.044192808680236,-7.994501113891602,24.951941924669384
verb_only,bert-kor-base,어제 저녁에 혼자서 할머니가 핸드폰을 사셨다.,핸드폰을 사셨다,-5.196264056605287,-6.6113200187683105,25.12009142620976
noun_only,bert-kor-base,어제 저녁에 혼자서 할머니께서 핸드폰을 샀다.,핸드폰을 샀다,-5.519678712356836,-8.78357219696045,24.98266765714193
all_honorific,bert-kor-base,어제 저녁에 혼자서 할머니께서 핸드폰을 사셨다.,핸드폰을 사셨다,-4.364792387829059,-5.818117141723633,25.002702948036845
