exp_idx,item_number,condition,sentence,distance,subject,subject_marker,verb_phrase,target_phrase,match,grammatical
1,15,honorableS-honorificV,어제 저녁에 혼자서 교수님이 편지를 쓰셨다.,close,교수님이,이,편지를 쓰셨다,쓰셨다,True,
1,15,honorableS-plainV,어제 저녁에 혼자서 교수님이 편지를 썼다.,close,교수님이,이,편지를 썼다,썼다,False,
1,16,honorableS-honorificV,어제 저녁에 혼자서 교수님이 노래를 부르셨다.,close,교수님이,이,노래를 부르셨다,부르셨다,True,
1,16,honorableS-plainV,어제 저녁에 혼자서 교수님이 노래를 불렀다.,close,교수님이,이,노래를 불렀다,불렀다,False,
1,17,honorableS-honorificV,어제 저녁에 혼자서 교수님이 티비를 보셨다.,close,교수님이,이,티비를 보셨다,보셨다,True,
1,17,honorableS-plainV,어제 저녁에 혼자서 교수님이 티비를 봤다.,close,교수님이,이,티비를 봤다,봤다,False,
1,18,honorableS-honorificV,어제 저녁에 혼자서 교수님이 산책을 하셨다.,close,교수님이,이,산책을 하셨다,하셨다,True,
1,18,honorableS-plainV,어제 저녁에 혼자서 교수님이 산책을 했다.,close,교수님이,이,산책을 했다,했다,False,
1,19,honorableS-honorificV,어제 저녁에 혼자서 교수님이 정원을 가꾸셨다.,close,교수님이,이,정원을 가꾸셨다,가꾸셨다,True,
1,19,honorableS-plainV,어제 저녁에 혼자서 교수님이 정원을 가꿨다.,close,교수님이,이,정원을 가꿨다,가꿨다,False,
1,20,honorableS-honorificV,어제 저녁에 혼자서 교수님이 빨래를 널으셨다.,close,교수님이,이,빨래를 널으셨다,널으셨다,True,
1,20,honorableS-plainV,어제 저녁에 혼자서 교수님이 빨래를 널었다.,close,교수님이,이,빨래를 널었다,널었다,False,
1,21,honorableS-honorificV,어제 저녁에 혼자서 어머니가 책을 읽으셨다.,close,어머니가,가,책을 읽으셨다,읽으셨다,True,
1,21,honorableS-plainV,어제 저녁에 혼자서 어머니가 책을 읽었다.,close,어머니가,가,책을 읽었다,읽었다,False,
1,22,honorableS-honorificV,어제 저녁에 혼자서 어머니가 파스타를 드셨다.,close,어머니가,가,파스타를 드셨다,드셨다,True,
1,22,honorableS-plainV,어제 저녁에 혼자서 어머니가 파스타를 먹었다.,close,어머니가,가,파스타를 먹었다,먹었다,False,
1,23,honorableS-honorificV,어제 저녁에 혼자서 어머니가 호통을 치셨다.,close,어머니가,가,호통을 치셨다,치셨다,True,
1,23,honorableS-plainV,어제 저녁에 혼자서 어머니가 호통을 쳤다.,close,어머니가,가,호통을 쳤다,쳤다,False,
1,24,honorableS-honorificV,어제 저녁에 혼자서 어머니가 핸드폰을 사셨다.,close,어머니가,가,핸드폰을 사셨다,사셨다,True,
1,24,honorableS-plainV,어제 저녁에 혼자서 어머니가 핸드폰을 샀다.,close,어머니가,가,핸드폰을 샀다,샀다,False,
1,25,honorableS-honorificV,어제 저녁에 혼자서 어머니가 편지를 쓰셨다.,close,어머니가,가,편지를 쓰셨다,쓰셨다,True,
1,25,honorableS-plainV,어제 저녁에 혼자서 어머니가 편지를 썼다.,close,어머니가,가,편지를 썼다,썼다,False,
1,26,honorableS-honorificV,어제 저녁에 혼자서 어머니가 노래를 부르셨다.,close,어머니가,가,노래를 부르셨다,부르셨다,True,
1,26,honorableS-plainV,어제 저녁에 혼자서 어머니가 노래를 불렀다.,close,어머니가,가,노래를 불렀다,불렀다,False,
1,27,honorableS-honorificV,어제 저녁에 혼자서 어머니가 티비를 보셨다.,close,어머니가,가,티비를 보셨다,보셨다,True,
1,27,honorableS-plainV,어제 저녁에 혼자서 어머니가 티비를 봤다.,close,어머니가,가,티비를 봤다,봤다,False,
1,28,honorableS-honorificV,어제 저녁에 혼자서 어머니가 산책을 하셨다.,close,어머니가,가,산책을 하셨다,하셨다,True,
1,28,honorableS-plainV,어제 저녁에 혼자서 어머니가 산책을 했다.,close,어머니가,가,산책을 했다,했다,False,
1,29,honorableS-honorificV,어제 저녁에 혼자서 어머니가 정원을 가꾸셨다.,close,어머니가,가,정원을 가꾸셨다,가꾸셨다,True,
1,29,honorableS-plainV,어제 저녁에 혼자서 어머니가 정원을 가꿨다.,close,어머니가,가,정원을 가꿨다,가꿨다,False,
1,30,honorableS-honorificV,어제 저녁에 혼자서 어머니가 빨래를 널으셨다.,close,어머니가,가,빨래를 널으셨다,널으셨다,True,
1,30,honorableS-plainV,어제 저녁에 혼자서 어머니가 빨래를 널었다.,close,어머니가,가,빨래를 널었다,널었다,False,
1,31,honorableS-honorificV,어제 저녁에 혼자서 아버지가 책을 읽으셨다.,close,아버지가,가,책을 읽으셨다,읽으셨다,True,
1,31,honorableS-plainV,어제 저녁에 혼자서 아버지가 책을 읽었다.,close,아버지가,가,책을 읽었다,읽었다,False,
1,32,honorableS-honorificV,어제 저녁에 혼자서 아버지가 파스타를 드셨다.,close,아버지가,가,파스타를 드셨다,드셨다,True,
1,32,honorableS-plainV,어제 저녁에 혼자서 아버지가 파스타를 먹었다.,close,아버지가,가,파스타를 먹었다,먹었다,False,
1,33,honorableS-honorificV,어제 저녁에 혼자서 아버지가 호통을 치셨다.,close,아버지가,가,호통을 치셨다,치셨다,True,
1,33,honorableS-plainV,어제 저녁에 혼자서 아버지가 호통을 쳤다.,close,아버지가,가,호통을 쳤다,쳤다,False,
1,34,honorableS-honorificV,어제 저녁에 혼자서 아버지가 핸드폰을 사셨다.,close,아버지가,가,핸드폰을 사셨다,사셨다,True,
1,34,honorableS-plainV,어제 저녁에 혼자서 아버지가 핸드폰을 샀다.,close,아버지가,가,핸드폰을 샀다,샀다,False,
1,35,honorableS-honorificV,어제 저녁에 혼자서 아버지가 편지를 쓰셨다.,close,아버지가,가,편지를 쓰셨다,쓰셨다,True,
1,35,honorableS-plainV,어제 저녁에 혼자서 아버지가 편지를 썼다.,close,아버지가,가,편지를 썼다,썼다,False,
1,36,honorableS-honorificV,어제 저녁에 혼자서 아버지가 노래를 부르셨다.,close,아버지가,가,노래를 부르셨다,부르셨다,True,
1,36,honorableS-plainV,어제 저녁에 혼자서 아버지가 노래를 불렀다.,close,아버지가,가,노래를 불렀다,불렀다,False,
1,37,honorableS-honorificV,어제 저녁에 혼자서 아버지가 티비를 보셨다.,close,아버지가,가,티비를 보셨다,보셨다,True,
1,37,honorableS-plainV,어제 저녁에 혼자서 아버지가 티비를 봤다.,close,아버지가,가,티비를 봤다,봤다,False,
1,38,honorableS-honorificV,어제 저녁에 혼자서 아버지가 산책을 하셨다.,close,아버지가,가,산책을 하셨다,하셨다,True,
1,38,honorableS-plainV,어제 저녁에 혼자서 아버지가 산책을 했다.,close,아버지가,가,산책을 했다,했다,False,
1,39,honorableS-honorificV,어제 저녁에 혼자서 아버지가 정원을 가꾸셨다.,close,아버지가,가,정원을 가꾸셨다,가꾸셨다,True,
1,39,honorableS-plainV,어제 저녁에 혼자서 아버지가 정원을 가꿨다.,close,아버지가,가,정원을 가꿨다,가꿨다,False,
1,40,honorableS-honorificV,어제 저녁에 혼자서 아버지가 빨래를 널으셨다.,close,아버지가,가,빨래를 널으셨다,널으셨다,True,
1,40,honorableS-plainV,어제 저녁에 혼자서 아버지가 빨래를 널었다.,close,아버지가,가,빨래를 널었다,널었다,False,
1,41,honorableS-honorificV,어제 저녁에 혼자서 할머니가 책을 읽으셨다.,close,할머니가,가,책을 읽으셨다,읽으셨다,True,
1,41,honorableS-plainV,어제 저녁에 혼자서 할머니가 책을 읽었다.,close,할머니가,가,책을 읽었다,읽었다,False,
1,42,honorableS-honorificV,어제 저녁에 혼자서 할머니가 파스타를 드셨다.,close,할머니가,가,파스타를 드셨다,드셨다,True,
1,42,honorableS-plainV,어제 저녁에 혼자서 할머니가 파스타를 먹었다.,close,할머니가,가,파스타를 먹었다,먹었다,False,
1,43,honorableS-honorificV,어제 저녁에 혼자서 할머니가 호통을 치셨다.,close,할머니가,가,호통을 치셨다,치셨다,True,
1,43,honorableS-plainV,어제 저녁에 혼자서 할머니가 호통을 쳤다.,close,할머니가,가,호통을 쳤다,쳤다,False,
1,44,honorableS-honorificV,어제 저녁에 혼자서 할머니가 핸드폰을 사셨다.,close,할머니가,가,핸드폰을 사셨다,사셨다,True,
1,44,honorableS-plainV,어제 저녁에 혼자서 할머니가 핸드폰을 샀다.,close,할머니가,가,핸드폰을 샀다,샀다,False,
1,45,honorableS-honorificV,어제 저녁에 혼자서 할머니가 편지를 쓰셨다.,close,할머니가,가,편지를 쓰셨다,쓰셨다,True,
1,45,honorableS-plainV,어제 저녁에 혼자서 할머니가 편지를 썼다.,close,할머니가,가,편지를 썼다,썼다,False,
1,46,honorableS-honorificV,어제 저녁에 혼자서 할머니가 노래를 부르셨다.,close,할머니가,가,노래를 부르셨다,부르셨다,True,
1,46,honorableS-plainV,어제 저녁에 혼자서 할머니가 노래를 불렀다.,close,할머니가,가,노래를 불렀다,불렀다,False,
1,47,honorableS-honorificV,어제 저녁에 혼자서 할머니가 티비를 보셨다.,close,할머니가,가,티비를 보셨다,보셨다,True,
1,47,honorableS-plainV,어제 저녁에 혼자서 할머니가 티비를 봤다.,close,할머니가,가,티비를 봤다,봤다,False,
1,48,honorableS-honorificV,어제 저녁에 혼자서 할머니가 산책을 하셨다.,close,할머니가,가,산책을 하셨다,하셨다,True,
1,48,honorableS-plainV,어제 저녁에 혼자서 할머니가 산책을 했다.,close,할머니가,가,산책을 했다,했다,False,
1,49,honorableS-honorificV,어제 저녁에 혼자서 할머니가 정원을 가꾸셨다.,close,할머니가,가,정원을 가꾸셨다,가꾸셨다,True,
1,49,honorableS-plainV,어제 저녁에 혼자서 할머니가 정원을 가꿨다.,close,할머니가,가,정원을 가꿨다,가꿨다,False,
1,50,honorableS-honorificV,어제 저녁에 혼자서 할머니가 빨래를 널으셨다.,close,할머니가,가,빨래를 널으셨다,널으셨다,True,
1,50,honorableS-plainV,어제 저녁에 혼자서 할머니가 빨래를 널었다.,close,할머니가,가,빨래를 널었다,널었다,False,
1,51,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 책을 읽으셨다.,close,할아버지가,가,책을 읽으셨다,읽으셨다,True,
1,51,honorableS-plainV,어제 저녁에 혼자서 할아버지가 책을 읽었다.,close,할아버지가,가,책을 읽었다,읽었다,False,
1,52,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 파스타를 드셨다.,close,할아버지가,가,파스타를 드셨다,드셨다,True,
1,52,honorableS-plainV,어제 저녁에 혼자서 할아버지가 파스타를 먹었다.,close,할아버지가,가,파스타를 먹었다,먹었다,False,
1,53,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 호통을 치셨다.,close,할아버지가,가,호통을 치셨다,치셨다,True,
1,53,honorableS-plainV,어제 저녁에 혼자서 할아버지가 호통을 쳤다.,close,할아버지가,가,호통을 쳤다,쳤다,False,
1,54,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 핸드폰을 사셨다.,close,할아버지가,가,핸드폰을 사셨다,사셨다,True,
1,54,honorableS-plainV,어제 저녁에 혼자서 할아버지가 핸드폰을 샀다.,close,할아버지가,가,핸드폰을 샀다,샀다,False,
1,55,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 편지를 쓰셨다.,close,할아버지가,가,편지를 쓰셨다,쓰셨다,True,
1,55,honorableS-plainV,어제 저녁에 혼자서 할아버지가 편지를 썼다.,close,할아버지가,가,편지를 썼다,썼다,False,
1,56,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 노래를 부르셨다.,close,할아버지가,가,노래를 부르셨다,부르셨다,True,
1,56,honorableS-plainV,어제 저녁에 혼자서 할아버지가 노래를 불렀다.,close,할아버지가,가,노래를 불렀다,불렀다,False,
1,57,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 티비를 보셨다.,close,할아버지가,가,티비를 보셨다,보셨다,True,
1,57,honorableS-plainV,어제 저녁에 혼자서 할아버지가 티비를 봤다.,close,할아버지가,가,티비를 봤다,봤다,False,
1,58,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 산책을 하셨다.,close,할아버지가,가,산책을 하셨다,하셨다,True,
1,58,honorableS-plainV,어제 저녁에 혼자서 할아버지가 산책을 했다.,close,할아버지가,가,산책을 했다,했다,False,
1,59,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 정원을 가꾸셨다.,close,할아버지가,가,정원을 가꾸셨다,가꾸셨다,True,
1,59,honorableS-plainV,어제 저녁에 혼자서 할아버지가 정원을 가꿨다.,close,할아버지가,가,정원을 가꿨다,가꿨다,False,
1,60,honorableS-honorificV,어제 저녁에 혼자서 할아버지가 빨래를 널으셨다.,close,할아버지가,가,빨래를 널으셨다,널으셨다,True,
1,60,honorableS-plainV,어제 저녁에 혼자서 할아버지가 빨래를 널었다.,close,할아버지가,가,빨래를 널었다,널었다,False,
1,61,honorableS-honorificV,어제 저녁에 혼자서 사장님이 책을 읽으셨다.,close,사장님이,이,책을 읽으셨다,읽으셨다,True,
1,61,honorableS-plainV,어제 저녁에 혼자서 사장님이 책을 읽었다.,close,사장님이,이,책을 읽었다,읽었다,False,
1,62,honorableS-honorificV,어제 저녁에 혼자서 사장님이 파스타를 드셨다.,close,사장님이,이,파스타를 드셨다,드셨다,True,
1,62,honorableS-plainV,어제 저녁에 혼자서 사장님이 파스타를 먹었다.,close,사장님이,이,파스타를 먹었다,먹었다,False,
1,63,honorableS-honorificV,어제 저녁에 혼자서 사장님이 호통을 치셨다.,close,사장님이,이,호통을 치셨다,치셨다,True,
1,63,honorableS-plainV,어제 저녁에 혼자서 사장님이 호통을 쳤다.,close,사장님이,이,호통을 쳤다,쳤다,False,
1,64,honorableS-honorificV,어제 저녁에 혼자서 사장님이 핸드폰을 사셨다.,close,사장님이,이,핸드폰을 사셨다,사셨다,True,
1,64,honorableS-plainV,어제 저녁에 혼자서 사장님이 핸드폰을 샀다.,close,사장님이,이,핸드폰을 샀다,샀다,False,
1,65,honorableS-honorificV,어제 저녁에 혼자서 사장님이 편지를 쓰셨다.,close,사장님이,이,편지를 쓰셨다,쓰셨다,True,
1,65,honorableS-plainV,어제 저녁에 혼자서 사장님이 편지를 썼다.,close,사장님이,이,편지를 썼다,썼다,False,
1,66,honorableS-honorificV,어제 저녁에 혼자서 사장님이 노래를 부르셨다.,close,사장님이,이,노래를 부르셨다,부르셨다,True,
1,66,honorableS-plainV,어제 저녁에 혼자서 사장님이 노래를 불렀다.,close,사장님이,이,노래를 불렀다,불렀다,False,
1,67,honorableS-honorificV,어제 저녁에 혼자서 사장님이 티비를 보셨다.,close,사장님이,이,티비를 보셨다,보셨다,True,
1,67,honorableS-plainV,어제 저녁에 혼자서 사장님이 티비를 봤다.,close,사장님이,이,티비를 봤다,봤다,False,
1,68,honorableS-honorificV,어제 저녁에 혼자서 사장님이 산책을 하셨다.,close,사장님이,이,산책을 하셨다,하셨다,True,
1,68,honorableS-plainV,어제 저녁에 혼자서 사장님이 산책을 했다.,close,사장님이,이,산책을 했다,했다,False,
1,69,honorableS-honorificV,어제 저녁에 혼자서 사장님이 정원을 가꾸셨다.,close,사장님이,이,정원을 가꾸셨다,가꾸셨다,True,
1,69,honorableS-plainV,어제 저녁에 혼자서 사장님이 정원을 가꿨다.,close,사장님이,이,정원을 가꿨다,가꿨다,False,
1,70,honorableS-honorificV,어제 저녁에 혼자서 사장님이 빨래를 널으셨다.,close,사장님이,이,빨래를 널으셨다,널으셨다,True,
1,70,honorableS-plainV,어제 저녁에 혼자서 사장님이 빨래를 널었다.,close,사장님이,이,빨래를 널었다,널었다,False,
1,71,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 책을 읽으셨다.,close,팀장님이,이,책을 읽으셨다,읽으셨다,True,
1,71,honorableS-plainV,어제 저녁에 혼자서 팀장님이 책을 읽었다.,close,팀장님이,이,책을 읽었다,읽었다,False,
1,72,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 파스타를 드셨다.,close,팀장님이,이,파스타를 드셨다,드셨다,True,
1,72,honorableS-plainV,어제 저녁에 혼자서 팀장님이 파스타를 먹었다.,close,팀장님이,이,파스타를 먹었다,먹었다,False,
1,73,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 호통을 치셨다.,close,팀장님이,이,호통을 치셨다,치셨다,True,
1,73,honorableS-plainV,어제 저녁에 혼자서 팀장님이 호통을 쳤다.,close,팀장님이,이,호통을 쳤다,쳤다,False,
1,74,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 핸드폰을 사셨다.,close,팀장님이,이,핸드폰을 사셨다,사셨다,True,
1,74,honorableS-plainV,어제 저녁에 혼자서 팀장님이 핸드폰을 샀다.,close,팀장님이,이,핸드폰을 샀다,샀다,False,
1,75,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 편지를 쓰셨다.,close,팀장님이,이,편지를 쓰셨다,쓰셨다,True,
1,75,honorableS-plainV,어제 저녁에 혼자서 팀장님이 편지를 썼다.,close,팀장님이,이,편지를 썼다,썼다,False,
1,76,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 노래를 부르셨다.,close,팀장님이,이,노래를 부르셨다,부르셨다,True,
1,76,honorableS-plainV,어제 저녁에 혼자서 팀장님이 노래를 불렀다.,close,팀장님이,이,노래를 불렀다,불렀다,False,
1,77,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 티비를 보셨다.,close,팀장님이,이,티비를 보셨다,보셨다,True,
1,77,honorableS-plainV,어제 저녁에 혼자서 팀장님이 티비를 봤다.,close,팀장님이,이,티비를 봤다,봤다,False,
1,78,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 산책을 하셨다.,close,팀장님이,이,산책을 하셨다,하셨다,True,
1,78,honorableS-plainV,어제 저녁에 혼자서 팀장님이 산책을 했다.,close,팀장님이,이,산책을 했다,했다,False,
1,79,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 정원을 가꾸셨다.,close,팀장님이,이,정원을 가꾸셨다,가꾸셨다,True,
1,79,honorableS-plainV,어제 저녁에 혼자서 팀장님이 정원을 가꿨다.,close,팀장님이,이,정원을 가꿨다,가꿨다,False,
1,80,honorableS-honorificV,어제 저녁에 혼자서 팀장님이 빨래를 널으셨다.,close,팀장님이,이,빨래를 널으셨다,널으셨다,True,
1,80,honorableS-plainV,어제 저녁에 혼자서 팀장님이 빨래를 널었다.,close,팀장님이,이,빨래를 널었다,널었다,False,
1,81,honorableS-honorificV,어제 저녁에 혼자서 이모님이 책을 읽으셨다.,close,이모님이,이,책을 읽으셨다,읽으셨다,True,
1,81,honorableS-plainV,어제 저녁에 혼자서 이모님이 책을 읽었다.,close,이모님이,이,책을 읽었다,읽었다,False,
1,82,honorableS-honorificV,어제 저녁에 혼자서 이모님이 파스타를 드셨다.,close,이모님이,이,파스타를 드셨다,드셨다,True,
1,82,honorableS-plainV,어제 저녁에 혼자서 이모님이 파스타를 먹었다.,close,이모님이,이,파스타를 먹었다,먹었다,False,
1,83,honorableS-honorificV,어제 저녁에 혼자서 이모님이 호통을 치셨다.,close,이모님이,이,호통을 치셨다,치셨다,True,
1,83,honorableS-plainV,어제 저녁에 혼자서 이모님이 호통을 쳤다.,close,이모님이,이,호통을 쳤다,쳤다,False,
1,84,honorableS-honorificV,어제 저녁에 혼자서 이모님이 핸드폰을 사셨다.,close,이모님이,이,핸드폰을 사셨다,사셨다,True,
1,84,honorableS-plainV,어제 저녁에 혼자서 이모님이 핸드폰을 샀다.,close,이모님이,이,핸드폰을 샀다,샀다,False,
1,85,honorableS-honorificV,어제 저녁에 혼자서 이모님이 편지를 쓰셨다.,close,이모님이,이,편지를 쓰셨다,쓰셨다,True,
1,85,honorableS-plainV,어제 저녁에 혼자서 이모님이 편지를 썼다.,close,이모님이,이,편지를 썼다,썼다,False,
1,86,honorableS-honorificV,어제 저녁에 혼자서 이모님이 노래를 부르셨다.,close,이모님이,이,노래를 부르셨다,부르셨다,True,
1,86,honorableS-plainV,어제 저녁에 혼자서 이모님이 노래를 불렀다.,close,이모님이,이,노래를 불렀다,불렀다,False,
1,87,honorableS-honorificV,어제 저녁에 혼자서 이모님이 티비를 보셨다.,close,이모님이,이,티비를 보셨다,보셨다,True,
1,87,honorableS-plainV,어제 저녁에 혼자서 이모님이 티비를 봤다.,close,이모님이,이,티비를 봤다,봤다,False,
1,88,honorableS-honorificV,어제 저녁에 혼자서 이모님이 산책을 하셨다.,close,이모님이,이,산책을 하셨다,하셨다,True,
1,88,honorableS-plainV,어제 저녁에 혼자서 이모님이 산책을 했다.,close,이모님이,이,산책을 했다,했다,False,
1,89,honorableS-honorificV,어제 저녁에 혼자서 이모님이 정원을 가꾸셨다.,close,이모님이,이,정원을 가꾸셨다,가꾸셨다,True,
1,89,honorableS-plainV,어제 저녁에 혼자서 이모님이 정원을 가꿨다.,close,이모님이,이,정원을 가꿨다,가꿨다,False,
1,90,honorableS-honorificV,어제 저녁에 혼자서 이모님이 빨래를 널으셨다.,close,이모님이,이,빨래를 널으셨다,널으셨다,True,
1,90,honorableS-plainV,어제 저녁에 혼자서 이모님이 빨래를 널었다.,close,이모님이,이,빨래를 널었다,널었다,False,
1,91,honorableS-honorificV,어제 저녁에 혼자서 손님이 책을 읽으셨다.,close,손님이,이,책을 읽으셨다,읽으셨다,True,
1,91,honorableS-plainV,어제 저녁에 혼자서 손님이 책을 읽었다.,close,손님이,이,책을 읽었다,읽었다,False,
1,92,honorableS-honorificV,어제 저녁에 혼자서 손님이 파스타를 드셨다.,close,손님이,이,파스타를 드셨다,드셨다,True,
1,92,honorableS-plainV,어제 저녁에 혼자서 손님이 파스타를 먹었다.,close,손님이,이,파스타를 먹었다,먹었다,False,
1,93,honorableS-honorificV,어제 저녁에 혼자서 손님이 호통을 치셨다.,close,손님이,이,호통을 치셨다,치셨다,True,
1,93,honorableS-plainV,어제 저녁에 혼자서 손님이 호통을 쳤다.,close,손님이,이,호통을 쳤다,쳤다,False,
1,94,honorableS-honorificV,어제 저녁에 혼자서 손님이 핸드폰을 사셨다.,close,손님이,이,핸드폰을 사셨다,사셨다,True,
1,94,honorableS-plainV,어제 저녁에 혼자서 손님이 핸드폰을 샀다.,close,손님이,이,핸드폰을 샀다,샀다,False,
1,95,honorableS-honorificV,어제 저녁에 혼자서 손님이 편지를 쓰셨다.,close,손님이,이,편지를 쓰셨다,쓰셨다,True,
1,95,honorableS-plainV,어제 저녁에 혼자서 손님이 편지를 썼다.,close,손님이,이,편지를 썼다,썼다,False,
1,96,honorableS-honorificV,어제 저녁에 혼자서 손님이 노래를 부르셨다.,close,손님이,이,노래를 부르셨다,부르셨다,True,
1,96,honorableS-plainV,어제 저녁에 혼자서 손님이 노래를 불렀다.,close,손님이,이,노래를 불렀다,불렀다,False,
1,97,honorableS-honorificV,어제 저녁에 혼자서 손님이 티비를 보셨다.,close,손님이,이,티비를 보셨다,보셨다,True,
1,97,honorableS-plainV,어제 저녁에 혼자서 손님이 티비를 봤다.,close,손님이,이,티비를 봤다,봤다,False,
1,98,honorableS-honorificV,어제 저녁에 혼자서 손님이 산책을 하셨다.,close,손님이,이,산책을 하셨다,하셨다,True,
1,98,honorableS-plainV,어제 저녁에 혼자서 손님이 산책을 했다.,close,손님이,이,산책을 했다,했다,False,
1,99,honorableS-honorificV,어제 저녁에 혼자서 손님이 정원을 가꾸셨다.,close,손님이,이,정원을 가꾸셨다,가꾸셨다,True,
1,99,honorableS-plainV,어제 저녁에 혼자서 손님이 정원을 가꿨다.,close,손님이,이,정원을 가꿨다,가꿨다,False,
1,100,honorableS-honorificV,어제 저녁에 혼자서 손님이 빨래를 널으셨다.,close,손님이,이,빨래를 널으셨다,널으셨다,True,
1,100,honorableS-plainV,어제 저녁에 혼자서 손님이 빨래를 널었다.,close,손님이,이,빨래를 널었다,널었다,False,
1,101,plainS-honorificV,어제 저녁에 혼자서 아이가 책을 읽으셨다.,close,아이가,가,책을 읽으셨다,읽으셨다,False,
